Año 	Mes       	Fuente 	1   	2   	3   	4   	5   	6   	7   	8   	9   	10  	11  	12  	13  	14  	15  	16  	17  	18  	19  	20  	21  	22  	23  	24  	25  	26  	27  	28  	29  	30  	31  	Total
1967	enero     	SENAMHI	2.3 	13.0	0.0 	3.2 	1.3 	10.5	1.3 	7.4 	8.5 	14.0	4.7 	13.5	0.0 	0.0 	0.0 	0.0 	3.7 	4.5 	10.3	5.7 	7.3 	3.9 	3.0 	4.0 	7.0 	3.5 	9.2 	4.0 	5.3 	5.0 	28.0	184.1
    	febrero   	SENAMHI	4.3 	5.0 	16.4	12.0	3.2 	7.0 	6.4 	18.3	3.0 	4.2 	8.1 	5.4 	11.7	3.0 	2.5 	13.3	4.1 	0.0 	13.6	12.5	5.5 	5.4 	11.0	5.3 	14.1	13.9	7.8 	16.4	    	    	    	233.4
    	marzo     	SENAMHI	23.2	5.7 	0.4 	0.0 	5.4 	3.0 	3.9 	4.3 	0.0 	4.5 	2.4 	10.8	13.4	5.2 	3.7 	0.0 	5.9 	7.5 	9.7 	0.0 	6.6 	13.7	0.0 	0.0 	0.0 	0.0 	0.0 	4.3 	0.0 	0.0 	0.0 	133.6
    	abril     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	1.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	9.7 	0.0 	5.1 	12.8	17.1	4.8 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	52.8 
    	mayo      	SENAMHI	0.0 	1.5 	0.0 	7.0 	0.0 	3.2 	4.1 	6.7 	0.0 	0.0 	0.0 	0.0 	0.0 	7.8 	0.0 	0.0 	0.0 	4.7 	3.5 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.3 	0.0 	42.8 
    	junio     	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	    	0.0  
    	julio     	SENAMHI	0.0 	0.0 	0.0 	6.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5.3 	3.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	15.3 
    	agosto    	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.7  
    	septiembre	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.1 	0.0 	0.0 	0.0 	6.3 	0.8 	2.8 	0.0 	0.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	6.2 	4.3 	    	22.8 
    	octubre   	SENAMHI	2.2 	3.0 	0.0 	3.3 	4.3 	13.4	7.9 	8.5 	18.5	9.6 	0.0 	0.0 	4.0 	7.6 	2.6 	0.4 	0.3 	0.0 	0.0 	0.5 	0.0 	0.0 	0.0 	0.0 	0.0 	3.0 	0.0 	0.0 	0.0 	4.3 	7.3 	100.7
    	noviembre 	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.8 	7.4 	10.8	3.4 	1.8 	    	25.9 
    	diciembre 	SENAMHI	5.0 	4.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.5 	0.0 	3.2 	2.4 	0.8 	0.0 	0.0 	0.0 	14.5	12.7	0.4 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	43.8 
1968	enero     	SENAMHI	2.0 	0.0 	8.7 	11.3	9.3 	5.0 	3.4 	0.0 	2.3 	0.0 	7.3 	16.7	9.3 	4.9 	0.0 	0.5 	3.4 	8.8 	19.1	0.0 	0.0 	15.9	0.0 	0.0 	3.7 	7.0 	0.0 	0.0 	0.0 	0.0 	0.0 	138.6
    	febrero   	SENAMHI	0.5 	23.7	7.8 	8.5 	20.0	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	14.8	6.7 	0.0 	0.0 	0.0 	0.0 	5.6 	10.4	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5.6 	21.8	13.2	    	    	138.6
