Año 	Mes       	Fuente 	1   	2   	3   	4   	5   	6   	7   	8   	9   	10  	11  	12  	13  	14  	15  	16  	17  	18  	19  	20  	21  	22  	23  	24  	25  	26  	27  	28  	29  	30  	31  	Total
1990	enero     	SENAMHI	0.0 	5.8 	9.2 	5.2 	10.0	13.0	10.2	12.5	7.8 	0.0 	0.9 	0.0 	0.0 	0.8 	7.5 	10.3	3.1 	4.2 	4.1 	7.8 	10.0	0.0 	0.0 	0.0 	13.5	3.2 	2.4 	0.0 	0.8 	3.2 	3.4 	148.9
    	febrero   	SENAMHI	16.3	30.8	12.0	2.5 	0.0 	0.0 	0.0 	0.8 	0.0 	2.8 	3.9 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.5 	2.4 	4.0 	10.1	4.8 	    	    	    	90.9 
    	marzo     	SENAMHI	3.6 	8.6 	0.0 	0.0 	11.8	15.0	4.8 	13.5	7.6 	6.4 	12.2	3.2 	4.2 	5.2 	0.0 	2.1 	5.0 	0.0 	1.5 	2.6 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	107.3
    	abril     	SENAMHI	2.0 	3.8 	0.0 	0.0 	1.5 	4.2 	4.1 	0.0 	0.0 	2.5 	10.5	4.2 	3.8 	4.0 	2.8 	9.2 	14.2	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.8 	0.0 	    	68.6 
    	mayo      	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.8 	6.9 	0.0 	0.0 	2.0 	0.0 	0.0 	0.8 	3.9 	16.0	8.3 	8.5 	1.9 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	2.0 	0.0 	51.1 
    	junio     	SENAMHI	3.1 	0.0 	0.0 	0.5 	0.0 	1.0 	2.5 	3.0 	10.6	6.2 	1.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	1.5 	0.0 	0.0 	2.0 	0.0 	0.0 	0.0 	0.0 	    	32.7 
    	julio     	SENAMHI	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.5 	0.0 	0.0 	0.0 	0.5 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.5 	1.0 	1.0 	4.5  
    	agosto    	SENAMHI	1.3 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4.5 	13.6	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	19.4 
    	septiembre	SENAMHI	0.0 	0.0 	8.6 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	15.7	0.0 	6.0 	0.8 	0.0 	1.8 	0.0 	0.0 	0.0 	0.0 	0.0 	4.9 	0.0 	9.2 	1.5 	1.0 	1.2 	3.0 	1.0 	0.0 	    	54.7 
    	octubre   	SENAMHI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	3.5 	4.6 	2.6 	0.0 	15.0	5.4 	0.0 	2.5 	0.0 	10.8	3.0 	10.6	0.0 	0.0 	6.8 	21.6	6.7 	8.2 	2.1 	4.1 	1.7 	3.2 	1.8 	6.8 	121.0
